Currency,,Amount Owned,Price,Value,Percent of portfolio,Total Portfolio Value
0XBTC,0.10601271,1,#REF!,#REF!,#REF!,#REF!
18C,0.00262264,10,#REF!,#REF!,#REF!,
1MT,0.16115443,30,#REF!,#REF!,#REF!,
1ST,0.10712122,1000,#REF!,#REF!,#REF!,
1WO,0.05952637,10000,#REF!,#REF!,#REF!,
2GIVE,0.00005,,,,,
2KEY,0.03604142,,,,,
2X2,0.00628484,,,,,
404,0.03133439,,,,,
42,25475.71436,,,,,
611,0.16951098,,,,,
808TA,0.00000002,,,,,
A,0.01791287,,,,,
AAACOIN,0.00001796,,,,,
AAC,0.08026812,,,,,
ABBC,0.09776611,,,,,
ABL,0.00481866,,,,,
ABS,0.00089783,,,,,
ABST,0.00011908,,,,,
ABT,0.09333818,,,,,
ABTC,0.33022319,,,,,
ABYSS,0.00707977,,,,,
ACAT,0.00012561,,,,,
ACD,0.02667958,,,,,
ACDC,0.00004489,,,,,
ACE,0.00598143,,,,,
ACM,0.01480986,,,,,
ACOIN,0.0156223,,,,,
ACT,0.00592977,,,,,
ACTN,0.00017871,,,,,
ACU,0.00168117,,,,,
AD,0.00086485,,,,,
ADA,0.0766407,,,,,
ADAB,0.00003309,,,,,
ADABEAR,9.1,,,,,
ADABULL,1770,,,,,
ADB,0.00094771,,,,,
ADCTOKEN,0.00816315,,,,,
ADE,0.00008978,,,,,
ADI,0.00032211,,,,,
ADK,0.73381818,,,,,
ADL,0.00448917,,,,,
ADMN,0.00000221,,,,,
ADN,0.00018823,,,,,
ADRX,0.00235641,,,,,
ADS,0.03043656,,,,,
ADVC,0.00089783,,,,,
ADX,0.09410362,,,,,
AE,0.12721178,,,,,
AEM,0.00446863,,,,,
AEON,0.56736902,,,,,
AER,0.00589679,,,,,
AERGO,0.02522139,,,,,
AFC,0.00098762,,,,,
AFCASH,1.39038508,,,,,
AFIN,0.00513349,,,,,
AFRO,0.00008978,,,,,
AFROX,0.00000002,,,,,
AGC,0.01750775,,,,,
AGET,0.00026935,,,,,
AGI,0.01682929,,,,,
AGLT,0.002,,,,,
AGR,0.00718267,,,,,
AGRD,0.00044892,,,,,
AGU,0.0026935,,,,,
AGVC,0.05512986,,,,,
AIAS,0.00493808,,,,,
AID,0.00847,,,,,
AIDOC,0.00187152,,,,,
AION,0.08946686,,,,,
AKM,0.00042036,,,,,
AKRO,0.00300631,,,,,
ALA,0.00000062,,,,,
ALADDIN,0.00016333,,,,,
ALEPH,0.02998745,,,,,
ALGO,0.20090663,,,,,
ALGOBEAR,8,,,,,
ALGOBULL,0.003627,,,,,
ALLBI,0.00006398,,,,,
ALLBIH,0.00000441,,,,,
ALLUVA,0.00637829,,,,,
ALPD,0.00415377,,,,,
ALTBEAR,594,,,,,
ALTBULL,18.585,,,,,
ALTM,0.0005387,,,,,
AMB,0.01226502,,,,,
AMM,0.00462065,,,,,
AMMBR,0.0064644,,,,,
AMN,0.00132596,,,,,
AMO,0.00043606,,,,,
ANCT,0.75257977,,,,,
ANDES,0.00098762,,,,,
ANI,0.00008978,,,,,
ANJ,0.01697216,,,,,
ANKR,0.00284286,,,,,
ANN,0.00531683,,,,,
ANON,0.00942725,,,,,
ANT,1.2577065,,,,,
ANTR,0.00026935,,,,,
ANTY,0.00044892,,,,,
ANU,0.00000221,,,,,
AOG,0.00439938,,,,,
APIS,0.0010215,,,,,
APL,0.00055946,,,,,
APM,0.07236539,,,,,
APPC,0.03770323,,,,,
APR,0.00446553,,,,,
AQX,0.01767874,,,,,
ARBITOOL,0.00987617,,,,,
ARCEE,0.00296285,,,,,
ARDR,0.04749709,,,,,
ARDX,0.00080802,,,,,
AREPA,0.00165201,,,,,
ARG,0.00080805,,,,,
ARI,0.00026935,,,,,
ARION,0.0021548,,,,,
ARK,0.3166314,,,,,
ARM,0.00014561,,,,,
ARMR,0.00089783,,,,,
ARMS,0.01364707,,,,,
ARN,0.15472421,,,,,
ARO,0.00071827,,,,,
ARPA,0.01156682,,,,,
ARQ,0.00771877,,,,,
ARRR,0.0245678,,,,,
ART,0.00722756,,,,,
ARTE,0.0043096,,,,,
ARX,0.36810732,,,,,
ASA,0.00006839,,,,,
ASAC,0.00001103,,,,,
ASAFE2,0.03589529,,,,,
ASIMI,0.06802997,,,,,
ASM,0.02340235,,,,,
AST,0.05082579,,,,,
ASTA,0.19211974,,,,,
ATHEIOS,0.00044892,,,,,
ATIC,0.0010774,,,,,
ATL,0.01934446,,,,,
ATLS,0.00045449,,,,,
ATN,0.00691332,,,,,
ATO,0.00008081,,,,,
ATOM,2.44478156,,,,,
ATOMBEAR,305,,,,,
ATOMBULL,28.1,,,,,
ATP,0.00188545,,,,,
AU,2.6109563,,,,,
AUC,0.07058487,,,,,
AUDAX,0.00134675,,,,,
AUDIOCOIN,0.00026935,,,,,
AUNIT,0.01199998,,,,,
AUSC,0.0048483,,,,,
AUTO,0.00032117,,,,,
AUX,0.00432233,,,,,
AVA,0.31180588,,,,,
